instrument_name,strike,expiry_date,option_type,bid,ask,underlying_price,implied_volatility,funding_rate,timestamp
BTC-24APR26-57000-P,57000.0,1777017600000,put,0.0085,0.009,0.0,,0.0,2026-03-16T11:35:42.701123+00:00
BTC-24APR26-58000-C,58000.0,1777017600000,put,0.198,0.225,0.0,,0.0,2026-03-16T11:35:42.742209+00:00
BTC-24APR26-58000-P,58000.0,1777017600000,put,0.0095,0.0105,0.0,,0.0,2026-03-16T11:35:42.785840+00:00
BTC-24APR26-59000-P,59000.0,1777017600000,put,0.011,0.0115,0.0,,0.0,2026-03-16T11:35:42.850509+00:00
BTC-24APR26-60000-C,60000.0,1777017600000,put,0.197,0.2005,0.0,,0.0,2026-03-16T11:35:42.895462+00:00
BTC-24APR26-60000-P,60000.0,1777017600000,put,0.0125,0.013,0.0,,0.0,2026-03-16T11:35:42.940322+00:00
BTC-24APR26-62000-P,62000.0,1777017600000,put,0.016,0.0165,0.0,,0.0,2026-03-16T11:35:43.047200+00:00
BTC-24APR26-63000-C,63000.0,1777017600000,put,0.1615,0.166,0.0,,0.0,2026-03-16T11:35:43.087617+00:00
BTC-24APR26-64000-C,64000.0,1777017600000,put,0.1505,0.1545,0.0,,0.0,2026-03-16T11:35:43.150648+00:00
BTC-24APR26-64000-P,64000.0,1777017600000,put,0.0205,0.0215,0.0,,0.0,2026-03-16T11:35:43.191908+00:00
BTC-24APR26-65000-C,65000.0,1777017600000,put,0.14,0.1435,0.0,,0.0,2026-03-16T11:35:43.231991+00:00
BTC-24APR26-66000-C,66000.0,1777017600000,put,0.1295,0.133,0.0,,0.0,2026-03-16T11:35:43.294207+00:00
BTC-24APR26-66000-P,66000.0,1777017600000,put,0.0265,0.0275,0.0,,0.0,2026-03-16T11:35:43.335169+00:00
BTC-24APR26-67000-P,67000.0,1777017600000,put,0.03,0.031,0.0,,0.0,2026-03-16T11:35:43.398150+00:00
BTC-24APR26-68000-C,68000.0,1777017600000,put,0.11,0.1135,0.0,,0.0,2026-03-16T11:35:43.439953+00:00
BTC-24APR26-68000-P,68000.0,1777017600000,put,0.034,0.035,0.0,,0.0,2026-03-16T11:35:43.483484+00:00
BTC-24APR26-69000-P,69000.0,1777017600000,put,0.038,0.039,0.0,,0.0,2026-03-16T11:35:43.547115+00:00
BTC-24APR26-70000-C,70000.0,1777017600000,put,0.092,0.095,0.0,,0.0,2026-03-16T11:35:43.588437+00:00
BTC-24APR26-70000-P,70000.0,1777017600000,put,0.043,0.044,0.0,,0.0,2026-03-16T11:35:43.633158+00:00
BTC-24APR26-71000-P,71000.0,1777017600000,put,0.048,0.049,0.0,,0.0,2026-03-16T11:35:43.700192+00:00
BTC-24APR26-72000-C,72000.0,1777017600000,put,0.077,0.078,0.0,,0.0,2026-03-16T11:35:43.742143+00:00
BTC-24APR26-72000-P,72000.0,1777017600000,put,0.0535,0.0545,0.0,,0.0,2026-03-16T11:35:43.785696+00:00
BTC-24APR26-73000-P,73000.0,1777017600000,put,0.0595,0.0605,0.0,,0.0,2026-03-16T11:35:44.006637+00:00
BTC-24APR26-74000-C,74000.0,1777017600000,put,0.0625,0.0635,0.0,,0.0,2026-03-16T11:35:44.053560+00:00
BTC-24APR26-74000-P,74000.0,1777017600000,put,0.066,0.0675,0.0,,0.0,2026-03-16T11:35:44.097524+00:00
BTC-24APR26-75000-C,75000.0,1777017600000,put,0.056,0.057,0.0,,0.0,2026-03-16T11:35:44.144542+00:00
BTC-24APR26-75000-P,75000.0,1777017600000,put,0.073,0.0745,0.0,,0.0,2026-03-16T11:35:44.187045+00:00
BTC-24APR26-76000-P,76000.0,1777017600000,put,0.0805,0.082,0.0,,0.0,2026-03-16T11:35:44.250946+00:00
BTC-24APR26-77000-C,77000.0,1777017600000,put,0.0445,0.0455,0.0,,0.0,2026-03-16T11:35:44.294583+00:00
BTC-24APR26-77000-P,77000.0,1777017600000,put,0.0885,0.09,0.0,,0.0,2026-03-16T11:35:44.335956+00:00
BTC-24APR26-78000-P,78000.0,1777017600000,put,0.0965,0.0995,0.0,,0.0,2026-03-16T11:35:44.404376+00:00
BTC-24APR26-79000-C,79000.0,1777017600000,put,0.035,0.0355,0.0,,0.0,2026-03-16T11:35:44.446901+00:00
BTC-24APR26-79000-P,79000.0,1777017600000,put,0.1055,0.109,0.0,,0.0,2026-03-16T11:35:44.491456+00:00
BTC-24APR26-80000-C,80000.0,1777017600000,put,0.031,0.0315,0.0,,0.0,2026-03-16T11:35:44.534099+00:00
BTC-24APR26-81000-C,81000.0,1777017600000,put,0.027,0.028,0.0,,0.0,2026-03-16T11:35:44.597809+00:00
BTC-24APR26-81000-P,81000.0,1777017600000,put,0.1245,0.129,0.0,,0.0,2026-03-16T11:35:44.641124+00:00
BTC-24APR26-82000-C,82000.0,1777017600000,put,0.0235,0.0245,0.0,,0.0,2026-03-16T11:35:44.683074+00:00
BTC-24APR26-83000-C,83000.0,1777017600000,put,0.0205,0.0215,0.0,,0.0,2026-03-16T11:35:44.746612+00:00
BTC-24APR26-85000-C,85000.0,1777017600000,put,0.0155,0.0165,0.0,,0.0,2026-03-16T11:35:44.849407+00:00
BTC-24APR26-86000-P,86000.0,1777017600000,put,0.1775,0.1835,0.0,,0.0,2026-03-16T11:35:44.933478+00:00
BTC-24APR26-88000-P,88000.0,1777017600000,put,0.2015,0.207,0.0,,0.0,2026-03-16T11:35:44.994871+00:00
BTC-24APR26-90000-C,90000.0,1777017600000,put,0.0075,0.0085,0.0,,0.0,2026-03-16T11:35:45.040869+00:00
BTC-24APR26-90000-P,90000.0,1777017600000,put,0.226,0.232,0.0,,0.0,2026-03-16T11:35:45.085898+00:00
BTC-24APR26-100000-C,100000.0,1777017600000,put,0.0022,0.0025,0.0,,0.0,2026-03-16T11:35:45.351005+00:00
BTC-29MAY26-40000-C,40000.0,1780041600000,put,0.4605,0.4645,0.0,,0.0,2026-03-16T11:35:45.547088+00:00
BTC-29MAY26-40000-P,40000.0,1780041600000,put,0.0034,0.0036,0.0,,0.0,2026-03-16T11:35:45.590398+00:00
BTC-29MAY26-48000-P,48000.0,1780041600000,put,0.0075,0.008,0.0,,0.0,2026-03-16T11:35:45.693773+00:00
BTC-29MAY26-52000-P,52000.0,1780041600000,put,0.011,0.012,0.0,,0.0,2026-03-16T11:35:45.799855+00:00
BTC-29MAY26-54000-C,54000.0,1780041600000,put,0.281,0.3045,0.0,,0.0,2026-03-16T11:35:45.843809+00:00
BTC-29MAY26-54000-P,54000.0,1780041600000,put,0.0135,0.0145,0.0,,0.0,2026-03-16T11:35:45.885613+00:00
BTC-29MAY26-56000-P,56000.0,1780041600000,put,0.0165,0.0175,0.0,,0.0,2026-03-16T11:35:45.947053+00:00
BTC-29MAY26-57000-C,57000.0,1780041600000,put,0.2455,0.2725,0.0,,0.0,2026-03-16T11:35:45.988654+00:00
BTC-29MAY26-57000-P,57000.0,1780041600000,put,0.0185,0.0195,0.0,,0.0,2026-03-16T11:35:46.030169+00:00
BTC-29MAY26-58000-P,58000.0,1780041600000,put,0.0205,0.0215,0.0,,0.0,2026-03-16T11:35:46.093533+00:00
BTC-29MAY26-59000-C,59000.0,1780041600000,put,0.2225,0.238,0.0,,0.0,2026-03-16T11:35:46.137176+00:00
BTC-29MAY26-60000-C,60000.0,1780041600000,put,0.2115,0.2245,0.0,,0.0,2026-03-16T11:35:46.201865+00:00
BTC-29MAY26-60000-P,60000.0,1780041600000,put,0.025,0.026,0.0,,0.0,2026-03-16T11:35:46.246911+00:00
